tweet_id,tweet_text,retweet_count,reply_count,like_count,Real_Fake
1278419860196921347,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#COVID19 #coronavirus #KnowTheFacts

https://t.co/CRyTKlHrVe",0,0,1,1
1278419547146596352,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#COVID19 #coronavirus #KnowTheFacts https://t.co/AfKqaL64th",0,0,1,1
1278264430980022277,People should Not wear #Masks while exercising... #Who @WHO https://t.co/9fUdBkCktd,0,0,0,1
1278262917360693248,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

More ➡️ https://t.co/TdKoGmWrIr

#COVID19 #coronavirus #KnowTheFacts https://t.co/vDtg0khRzY",1049,128,1840,1
1278099968830648325,"Can people wear masks while exercising? 

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

Sweat can make the mask become wet more quickly which makes it difficult to breathe and promotes the growth of microorganisms. https://t.co/smvhzNKuLL",0,0,2,1
1277470471877885952,"Can people wear masks while Exercising?

People should not wear masks when exercising as masks may reduce the ability to breath comfortably. 

#Covid_19 #COVID #virus #VirusCorona #ecoworkx #ExerciseAtHome #WearMask #mask https://t.co/ANmFAPY2JL",1,0,0,1
1277410375810445312,"Still confused if it is okay to wear mask while exercising? Here is what the World Health Organization says.

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably. It is better to maintain physical distancing

#iLoveLaUnion https://t.co/QrXOsfLYaS",0,0,1,1
1276328313443586048,"Masks should not be required while exercising and in gyms as @GovSisolak has mandated.  The @WHO published this recommendation on June 16, 2020 that people should NOT wear masks while exercising.  #Nevada #COVID #GymRats #FaceCoverings https://t.co/9mISqCILGn",0,0,0,1
1276228746144632838,"Can people wear masks while exercising during #COVID19?⠀
⠀
People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.⠀
⠀
#coronavirus #knowthefacts https://t.co/BFTN8hmef8",0,0,0,1
1275259326983106560,"Can people wear masks while exercising during COVID-19?

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#Zydus
#Covid19
#Beinformed https://t.co/9lmGtRoWQD",0,0,1,1
1275247172812972032,"Can people wear a mask while exercising?

People should not wear a mask when exercising as masks may reduce the ability to breathe comfortably. Sweat can make the mask become wet more quickly which makes it more difficult to breathe and promotes the growth or microorganisms",1,0,1,1
1275064191343161345,"Can people wear masks while exercising? They CAN but they SHOULD NOT.

The WHO says ""Sweat can make the mask become wet more quickly which makes it difficult to breathe and promotes the growth of microorganisms."" Read more here: https://t.co/5Cv1p8Bz9m

#MedicalMythMonday #Masks https://t.co/BZ37gfpokl",0,0,0,1
1274486159910080513,"Can people wear masks while exercising during #COVID19?
People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.
.
#facemask #sanitizer #clean #COVID19 #CoronaVirusUpdate #Coronavirus #corona #lockdown #Pandemics #QuarentineLife https://t.co/fbuDgvPNVA",0,0,0,1
1274397804102901762,"Can people wear masks while exercising?
People should NOT wear masks when exercising as sweat may reduce the ability to breathe comfortably. https://t.co/NSgSk21hey",0,0,0,1
1274374574482874370,"@shoesnark @Carolkry @sjmmz34 @Cynthia0259 @catturd2 @Acosta So there’s nothing on the WHO site advising healthy people to not wear masks in public, except that masks shouldn’t be worn while exercising and social distancing should be observed. However, there are videos demonstrating &amp; diagrams on how to wear masks or face covering safely",0,0,2,1
1274347437973356544,"Can people wear masks while exercising?
People should NOT wear masks when exercising as sweat may reduce the ability to breathe comfortably. https://t.co/kSIyTZ4lvS
#healthtips 
#coronavirus 
Report: @WHO 
@IPR_Odisha 
@HFWOdisha 
#facemask https://t.co/fxnzTarT3i",0,0,1,1
1274319687208361986,"Can people wear masks while exercising?
People should NOT wear masks when exercising as sweat may reduce the ability to breathe comfortably. https://t.co/wO2UOjY9bE",106,7,233,1
1274258184480468992,"Can people wear masks while exercising during COVID-19?

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

🌐 https://t.co/IRqHHKIH5n

#coronavirus #COVID19 https://t.co/6fUVB1vnG7",0,0,0,1
1274243084843393024,"Can people wear masks while exercising during COVID-19?

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

🌐 https://t.co/xImYqG3PDz

#coronavirus #COVID19 https://t.co/Bx0gybTdWF",0,0,0,1
1274123853715968002,"Can people wear masks while exercising during COVID-19?

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably. (منظمة الصحة العالمية) https://t.co/BtD8E6adrr",0,0,1,1
1273916968316178433,"Q: Can people wear masks 😷 while exercising during #COVID19?

A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

The important preventive measure during exercise is to maintain #PhysicalDistancing

👉 https://t.co/bQKDMztq4h https://t.co/j6lAa8w5LH",20,0,25,1
1273898662482116608,"Reposted from @who Can people wear masks while exercising during #COVID19?⠀
⠀
People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.⠀
⠀
#coronavirus #knowthefacts https://t.co/klKGT6ooC4",4,0,5,1
